Method,MSE,PSNR,SSIM,SNR,Original Entropy,Enhanced Entropy,MLI,AG,CI
clahe,0.012381520839117,19.0722600705498,0.664854410873304,0.174191152934424,5.43313704765284,6.42682596241476,0.190439568711408,0.0163173707015603,-0.00270144317665355
egif,3.65174953289763e-05,44.3749901761385,0.991199821333023,25.4769212585231,5.43313704765284,5.45118324048133,0.102717442612056,0.00252212428670556,-0.0525897077321869
nlm,2.24444198240469e-08,76.488916163916,0.99999258529466,57.5908472463006,5.43313704765284,5.43275672821237,0.102717380434051,0.00493208232456892,0
histogram,0.228107208188835,6.41860990798873,0.112891271732537,-12.4794590096267,5.43313704765284,5.18212911696693,0.499071717456514,0.0578445746593167,0
unsharp,8.05320065139864e-05,40.9403148000734,0.984075271622002,22.042245882458,5.43313704765284,4.87460279688737,0.102717452032889,0.00970339858638047,0.742379454912425
